Title,Genres,Tags,Director,Screenwriter,Actors,url
Reverse 4 You,"['Romance', 'Youth', 'Fantasy']","['LGBTQ+', 'Time Manipulation', 'University']",['Oat Vatanyu Ingkavivat'],['Napak Traicharoendetch'],"['Christine Gulasatree Michalsky', 'Mae Methakarn Anektanasuwan', 'Manao Natnicha Polsombat']",['https://i.mydramalist.com/x4WDdz_4f.jpg']
Oh! My Emperor,"['Historical', 'Comedy', 'Romance']","['Time Travel', 'Web Series', 'Sismance']",[],['Li Han'],"['Zhao Lu Si', 'Jason Gu', 'Xiao Zhan']",['https://i.mydramalist.com/Q5YBvf.jpg']
Bakuage Sentai Boonboomger,"['Action', 'Adventure', 'Tokusatsu']","['Superhero Male Lead', 'Motorsport', 'Alien Supporting Character']","['Nakazawa Shojiro', 'Watanabe Katsuya', 'Takemoto Noboru', 'Kato Hiroyuki', 'Hayama Koichiro', 'Miyazaki Shun']","['Tomioka Atsuhiro', 'Yamaguchi Hiroshi', 'Higuchi Tatsuto', 'Konuta Kenji', 'Morichi Natsumi', 'Hojo Chinatsu']","['Iuchi Haruhi', 'Hayama Yuki', 'Suzuki Miu']",['https://i.mydramalist.com/kAOW0d_4f.jpg']
Me no Doku Sugiru Shokuba no Futari,['Comedy'],"['Workplace Setting', 'Office Setting', 'Office Worker Supporting Character']",['Kujiraoka Hironori'],['Nishioka To Neil'],"['Usuda Asami', 'Abe Shinnosuke', 'Sota Ryosuke']",['https://i.mydramalist.com/q7YND_4f.jpg']
GTO: Autumn Demon Rampage Special,"['Youth', 'Drama']","['Student Supporting Character', 'School Setting', 'Teenager Supporting Character']",['Imai Kazuhisa'],['Fukasawa Masaki'],"['Akira', 'Takimoto Miori', 'Shirota Yu']",['https://i.mydramalist.com/rRpxmf.jpg']
Double Me,"['Drama', 'Family']","['Photographer Male Lead', ""Brothers' Relationship"", 'Flashback To Past']",['Boss Naruebet Kuno'],[],"['PP Krit Amnuaydechkorn', 'Up Poompat Iam-samang', 'Pupa Inthanon Seangsiripaisarn']",['https://i.mydramalist.com/11Yw6_4f.jpg']
Remembering Lichuan,"['Romance', 'Drama', 'Melodrama']","['Separated Lovers', 'Workplace Setting', 'Architecture Industry']",['Chen Ming Zhang'],[],"['Godfrey Gao', 'Jiao Jun Yan', 'Lin Yo Wei']",['https://i.mydramalist.com/LpoNrf.jpg']
Shikaku Tantei Higurashi Tabito,"['Mystery', 'Drama', 'Supernatural']","['Detective Fiction', 'Investigator Male Lead', 'Disability']",['Tsutsumi Yukihiko'],['Fukuhara Mitsunori'],"['Matsuzaka Tori', 'Tabe Mikako', 'Hamada Gaku']",['https://i.mydramalist.com/7vpzNf.jpg']
Ban Shu Legend,"['Historical', 'Comedy', 'Romance']","['Han Dynasty', 'Smart Female Lead', 'Emotionally Strong Female Lead']","['Chu Yui Bun', 'Wai Hong Chui']","['Yu Zheng', 'Zhang Wei']","['Jing Tian', 'Zhang Zhe Han', 'Fu Xin Bo']",['https://i.mydramalist.com/lWyXef.jpg']
Your Story,"['Thriller', 'Mystery', 'Life']","['Burglar Supporting Character', 'Graphic Designer Male Lead', ""Co-workers' Relationship""]","['Aizawa Hideyuki', 'Tanimura Masaki', 'Nakae Isamu']",['Kuroiwa Tsutomu'],"['Aiba Masaki', 'Terao Akira', 'Arimura Kasumi']",['https://i.mydramalist.com/yWlDR6_4f.jpg']
A Lucid Dream,"['Romance', 'Drama']","['Father-Daughter Relationship', 'Psychologist Male Lead', 'Short Length Series']",[],[],"['Wang Ya Jia', 'Cheng Yu Feng', 'Cheng Qi Meng']",['https://i.mydramalist.com/2wg76R_4f.jpg']
Nang Ai,"['Romance', 'Life', 'Youth']","['Student Female Lead', 'School Setting', 'Teenager Female Lead']",['Meaw Pawanrat Naksuriya'],['Wannaphorn Ratphitagsanti'],"['Nychaa Nuttanicha Dungwattanawanich', 'Great Warintorn Panhakarn', 'Ball Kummun Klomkaew']",['https://i.mydramalist.com/NPemJf.jpg']
Gasohug,"['Comedy', 'Romance', 'Drama']","['Female Chases Male First', 'Poor Male Lead', 'Precognition']",['O Patha Thongpan'],"['O Patha Thongpan', 'Mook Jarinee Thanomyat', 'Rattanang Tulawan']","['Ice Preechaya Pongthananikorn', 'Ice Natara Nopparatayapon', 'Jack Chaleumpol Tikumpornteerawong']",['https://i.mydramalist.com/jyZ2df.jpg']
Demi Gods & Semi Devils,"['Wuxia', 'Fantasy']","['Northern Song Dynasty', 'Song Dynasty', 'Multiple Mains']","['Kuk Kok Leung', 'Zhou Xiao Wen']",['Bai Yi Cong'],"['Hu Jun', 'Jimmy Lin', 'Gao Hu']",['https://i.mydramalist.com/9x4jXf.jpg']
Together with Me,"['Comedy', 'Romance', 'Life']","['LGBTQ+', 'Friends To Lovers', 'Love Triangle']",['Dome Jade Bunyoprakarn'],"['Jane Kitt Bottasri', 'E Suphakorn Riansuwan', 'Joe Nakarin Narkpreecha']","['Max Nattapol Diloknawarit', 'Tul Pakorn Thanasrivanitchai', 'Aim Satida Pinsinchai']",['https://i.mydramalist.com/jPPwz_4f.jpg']
Tiger Cubs,"['Action', 'Crime', 'Drama']","[""Brothers' Relationship"", 'Robbery', 'Multiple Mains']",[],[],"['Oscar Leung', 'Joe Ma', 'Jessica Hsuan']",['https://i.mydramalist.com/nOnrLf.jpg']
Stars Falling from the Sky,"['Romance', 'Drama', 'Family']","['Poor Family', 'Cohabitation', 'Death']",['Jung Hyo'],['Jung Ji Woo'],"['Choi Jung Won', 'Kim Ji Hoon', 'Shin Dong Wook']",['https://i.mydramalist.com/9x839f.jpg']
Brave Yoshihiko and the Demon's Key,"['Adventure', 'Comedy', 'Fantasy']","['Tokusatsu', '(Vote tags)']",['Fukuda Yuichi'],['Fukuda Yuichi'],"['Yamada Takayuki', 'Kinami Haruka', 'Muro Tsuyoshi']",['https://i.mydramalist.com/YYdEzf.jpg']
U-Prince: T-Rex,"['Comedy', 'Romance', 'Life']","['Innocent Male Lead', 'Warm Man/Cold Woman', 'Archaeology']",['Fon Kanittha Kwunyoo'],['Parkpoom Nuntalit'],"['Cherreen Nachjaree Horvejkul', 'Kacha Nontanun Anchuleepradit', 'Alice Tsoi']",['https://i.mydramalist.com/Q5lpAf.jpg']
Love Behind the Melody,"['Music', 'Historical', 'Romance']","['Musician Female Lead', 'Transmigration', 'Traditional Chinese Music']",['Jin Xiong Hao'],[],"['Wu Chong Xuan', 'Bao Shang En', 'Pan Yue Tong']",['https://i.mydramalist.com/QVDZv_4f.jpg']
"Guai Guai Ru Ju, He Shao Fang Si Jiao Chong","['Romance', 'Drama']","['Domestic Crime', ""Affectionate Mains' Relationship"", 'Adapted From A Web Novel']",[],[],"['Zuo Yi', 'Wang Nan']",['https://i.mydramalist.com/73xjBD_4f.jpg']
A Lonely Hero’s Journey,"['Thriller', 'Historical', 'Mystery']","['Spy Male Lead', 'Historical Fiction', 'World War 2']","['Yang Dong Liang', 'Lin Li Sheng']",['Lin Li Sheng'],"['Joseph Zeng', 'Zhang Song Wen', 'Chen Du Ling']",['https://i.mydramalist.com/4eNejY_4f.jpg']
Yutori Desu ga Nani ka,"['Comedy', 'Drama', 'Family']","['School Setting', 'Illegal Immigrant Supporting Character', ""Co-workers' Relationship""]",['Mizuta Nobuo'],['Kudo Kankuro'],"['Okada Masaki', 'Matsuzaka Tori', 'Yagira Yuya']",['https://i.mydramalist.com/5yQzAf.jpg']
Jiu Liu Overlord,"['Historical', 'Mystery', 'Business']","['Orphan Female Lead', 'Tang Dynasty', 'Hidden Identity']",['Qiu Yu'],['Qiu Yu'],"['Bai Lu', 'Leon Lai', 'Alen Fang']",['https://i.mydramalist.com/v3ZN2_4f.jpg']
The Greatest Teacher,"['Thriller', 'Mystery', 'Youth']","['High School', 'Suspense', 'Teenager Female Lead']",['Suzuki Yuma'],[],"['Matsuoka Mayu', 'Ashida Mana', 'Kato Seishiro']",['https://i.mydramalist.com/60rd2P_4f.jpg']
Atsu Hime,"['Historical', 'Drama', 'Political']","['Edo Period', 'Palace Setting', 'Tokugawa Shogunate']","['Horikirizono Kentaro', 'Sato Mineyo', 'Watanabe Yoshio']",['Tabuchi Kumiko'],"['Miyazaki Aoi', 'Nagatsuka Kyozo', 'Higuchi Kanako']",['https://i.mydramalist.com/1g3mdf.jpg']
"Yes, Her Majesty","['Historical', 'Comedy', 'Romance']","['Married Life', 'Amnesia', 'Political']",['Huang Ying Xiang'],[],"['Smile Hu', 'Cheng Yu Feng', 'Zhang Dong Zi']",['https://i.mydramalist.com/0wzlvE_4f.jpg']
Bromance: Special,"['Romance', 'Drama']","['Crossdresser Female Lead', 'Hidden Identity', 'Cross-Dressing']",[],[],"['Megan Lai', 'Baron Chen', 'Mandy Tao']",['https://i.mydramalist.com/XA6NXf.jpg']
Hello Mr. Gu,"['Comedy', 'Romance', 'Drama']","['Marriage Of Convenience', 'Contract Relationship', 'Rich Male Lead']",['Tian Shao Bo'],['Hu Hui'],"['Chen Jing Ke', 'Yan Zhi Chao', 'Guo Yun Qi']",['https://i.mydramalist.com/jw1EJ_4f.jpg']
The Legend of Heroes,['Wuxia'],"['Anthology', 'Web Series', 'Adapted From A Novel']","['Deng Ke', 'Wen De Guang', 'Cao Dun', 'Yang Lei', 'Xu Bing']","['Xu Bing', 'Cheng Ting Yu', 'Wu Yao', 'Li Hai Shu', 'Huang Yan Wei', 'Jia Dong Yan']","['Ci Sha', 'Bao Shang En', 'Wang Hong Yi']",['https://i.mydramalist.com/XdvYLg_4f.jpg']
Daddy is My Classmate,"['Comedy', 'Drama']","['Student Supporting Character', 'Student Female Lead', 'Student Male Lead']",['Fukuda Yuichi'],['Fukuda Yuichi'],"['Muro Tsuyoshi', 'Nagano Mei', 'Nakagawa Taishi']",['https://i.mydramalist.com/rzm7D_4f.jpg']
The Silence of the Monster,"['Adventure', 'Mystery', 'Romance']","['Healing', 'Investigation', 'Melodrama']","['Yvonne Yang', 'Qian Jing Wu']",['Wei Jun'],"['Bi Wen Jun', 'Zhu Zheng Ting', 'Sun Yi Han']",['https://i.mydramalist.com/XlgKx_4f.jpg']
Embrace in the Dark Night,"['Action', 'Mystery', 'Romance']","['Investigation', 'Short Length Series', 'Meet Again']",['Chen Jia Jie'],[],"['Jesse Ren', 'Fang Jin', 'Liu Tian Yang']",['https://i.mydramalist.com/WPW2Xm_4f.jpg']
CONNECTED: The Homebound Detective,"['Thriller', 'Mystery', 'Comedy']","['Cybercrime', 'Detective Fiction', 'Detective Male Lead']",[],['Mori Hayashi'],"['Kitamura Takumi', 'Matsumoto Marika', 'Suzuki Honami']",['https://i.mydramalist.com/pplPE_4f.jpg']
Duang Jai Akkanee,"['Comedy', 'Romance']","['Forbidden Love', 'Enemies To Lovers', 'Bantering Relationship']",['Paajaew Yuthana Lorphanpaibul'],['Parada Kantapattanakul'],"['Nadech Kugimiya', 'Yaya Urassaya Sperbund', 'Mark Prin Suparat']",['https://i.mydramalist.com/73Woef.jpg']
The Imperial Coroner Special,"['Historical', 'Mystery', 'Romance']","['Multiple Couples', 'Investigation', '(Vote tags)']",[],[],"['Su Xiao Tong', 'Wang Zi Qi', 'Zhao Yao Ke']",['https://i.mydramalist.com/2eRRd_4f.jpg']
Reverse with Me: Uncut,"['Romance', 'Drama', 'Fantasy']","['Separated Lovers', 'Resident Doctor Female Lead', 'Student Supporting Character']",['May Siwat Decharat'],['May Siwat Decharat'],"['Natt Nattamon Chokejindachai', 'Pitcha Pitchatorn Santinatornkul', 'Meo-Meow Rachaya Soranakom']",['https://i.mydramalist.com/ABRKK3_4f.jpg']
A Good Day to Be a Dog,"['Comedy', 'Romance', 'Fantasy']","['Dog', 'Curse', 'Workplace Setting']",['Kim Dae Woong'],['Baek In Ah'],"['Park Gyu Young', 'Cha Eun Woo', 'Lee Hyun Woo']",['https://i.mydramalist.com/4ewNdd_4f.jpg']
Drama Stage Season 1: Anthology,"['Romance', 'Life', 'Youth']","['Flashback To Past', 'First Love', 'Hot-tempered Female Lead']",['Lee Yoon Jung'],['Shin Ha Eun'],"['One', 'Shin Eun Soo', 'Noh Susanna']",['https://i.mydramalist.com/Lp4XDf.jpg']
Tokumei Sentai Go-Busters,"['Action', 'Tokusatsu', 'Comedy']","['Robot', 'Superhero Female Lead', 'Superhero Male Lead']","['Nakazawa Shojiro', 'Shibasaki Takayuki', 'Kaneda Osamu', 'Watanabe Katsuya', 'Shibasaki Takayuki', 'Kato Hiroyuki', 'Maihara Kenzo']","['Shimoyama Kento', 'Mori Nobuhiro', 'Kobayashi Yasuko']","['Suzuki Katsuhiro', 'Baba Ryoma', 'Komiya Arisa']",['https://i.mydramalist.com/QLBK7_4f.jpg']
Daisuki!!,"['Drama', 'Family']","['Unexpected Pregnancy', 'Miniseries', 'Mother-Daughter Relationship']","['Tsukahara Ayuko', 'Hideki Hori']","['Shinozaki Eriko', 'Watanabe Chiho', 'Arai Shuuko']","['Karina', 'Hiraoka Yuta', 'Sasaki Mao']",['https://i.mydramalist.com/zEJ8Pf.jpg']
Hirugao,"['Romance', 'Drama', 'Melodrama']","['Extramarital Affair', 'Infidelity', 'Teacher Male Lead']","['Mitsuno Michio', 'Nishitani Hiroshi', 'Takano Mai']",['Inoue Yumiko'],"['Ueto Aya', 'Kichise Michiko', 'Saitoh Takumi']",['https://i.mydramalist.com/l0KAJf.jpg']
Martial Universe Season 2,"['Romance', 'Wuxia', 'Fantasy']","['Cultivation', 'Strong Male Lead', 'Fantasy World']",['Zhang Li'],['Zhang Li'],"['Yang Yang', 'Zhang Tian Ai', 'Wu Chun']",['https://i.mydramalist.com/jrORwf.jpg']
