Title,Genres,Tags,Director,Screenwriter,Actors,url
When Life Gives You Tangerines,"['Romance', 'Life', 'Drama']","['Family Relationship', 'Nice Male Lead', 'Healthy Mains’ Relationship']",['Kim Won Suk'],['Im Sang Choon'],"['IU', 'Park Bo Gum', 'Moon So Ri']",['https://i.mydramalist.com/5v8b2y_4f.jpg']
Twinkling Watermelon,"['Romance', 'Youth', 'Drama']","['Time Travel', 'Child From The Future', 'Deafness']",['Son Jung Hyun'],['Jin Soo Wan'],"['Ryeo Un', 'Choi Hyun Wook', 'Seol In Ah']",['https://i.mydramalist.com/2w44jE_4f.jpg']
Move to Heaven,"['Life', 'Drama']","['Uncle-Nephew Relationship', 'Autism', 'Death']",['Kim Sung Ho'],['Yoon Ji Ryun'],"['Lee Je Hoon', 'Tang Jun Sang', 'Hong Seung Hee']",['https://i.mydramalist.com/Rle36_4f.jpg']
Weak Hero Class 1,"['Action', 'Youth', 'Drama']","['Student Male Lead', 'Teenager Male Lead', 'Violence']","['Park Dhan Hee', 'Yoo Su Min']",['Yoo Su Min'],"['Park Ji Hoon', 'Choi Hyun Wook', 'Hong Kyung']",['https://i.mydramalist.com/pq2lr_4f.jpg']
Alchemy of Souls,"['Action', 'Historical', 'Romance']","['Transmigration', 'Master-Disciple Relationship', 'Supernatural']",['Park Joon Hwa'],"['Hong Jeong Eun', 'Hong Mi Ran']","['Lee Jae Wook', 'Jung So Min', 'Hwang Min Hyun']",['https://i.mydramalist.com/Beg4z_4f.jpg']
Pursuit of Jade,"['Historical', 'Mystery', 'Romance']","['Fake To Real Lovers', 'Physically Strong Female Lead', 'Female Lead Saves Male Lead']",['Zeng Qing Jie'],['Zou Yue'],"['Zhang Ling He', 'Tian Xi Wei', 'Snow Kong']",['https://i.mydramalist.com/VXmvAx_4f.jpg']
The Trauma Code: Heroes on Call,"['Action', 'Comedy', 'Drama']","['Surgeon Male Lead', 'Hospital Setting', 'Mentor-Mentee Relationship']",['Lee Do Yoon'],['Choi Tae Gang'],"['Ju Ji Hoon', 'Choo Young Woo', 'Ha Young']",['https://i.mydramalist.com/735qBe_4f.jpg']
Hospital Playlist Season 2,"['Romance', 'Life', 'Drama']","['Multiple Mains', 'Band', 'Music']",['Shin Won Ho'],['Lee Woo Jung'],"['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho']",['https://i.mydramalist.com/dKY0d_4f.jpg']
Flower of Evil,"['Thriller', 'Romance', 'Crime']","['Detective Female Lead', 'Psychological', 'Family Secret']","['Kim Chul Gyu', 'Yoon Jong Ho']",['Yoo Jeong Hui'],"['Lee Joon Gi', 'Moon Chae Won', 'Jang Hee Jin']",['https://i.mydramalist.com/WAEAp_4f.jpg']
The Untamed Special Edition,"['Mystery', 'Wuxia', 'Fantasy']","['Bromance', 'Smart Male Lead', 'Censored Adaptation Of Same-sex Original Work']","['Steve Cheng', 'Chan Ka Lam']","['Deng Yao Yu', 'Yang Xia', 'Guo Guang Yun', 'Ma Jing']","['Xiao Zhan', 'Wang Yi Bo', 'Wang Zhuo Cheng']",['https://i.mydramalist.com/wlo1kf.jpg']
Reply 1988,"['Comedy', 'Romance', 'Life']","['Nostalgia', 'Multiple Couples', 'Poor Family']","['Shin Won Ho', 'Yoo Hak Chan']","['Lee Woo Jung', 'Kim Song Hee']","['Lee Hye Ri', 'Go Kyung Pyo', 'Ryu Jun Yeol']",['https://i.mydramalist.com/EVe0p_4f.jpg']
Nirvana in Fire,"['Military', 'Historical', 'Drama']","['Power Struggle', 'Smart Male Lead', 'Scheme']","['Kong Sheng', 'Li Xue']",['Hai Yan'],"['Hu Ge', 'Liu Tao', 'Wang Kai']",['https://i.mydramalist.com/kV54df.jpg']
Moving,"['Action', 'Thriller', 'Mystery']","['Graphic Violence', 'Supernatural Power', 'Multiple Mains']",['Park In Je'],['Kang Full'],"['Ryu Seung Ryong', 'Han Hyo Joo', 'Zo In Sung']",['https://i.mydramalist.com/l0YBOx_4f.jpg']
Hospital Playlist,"['Comedy', 'Life', 'Drama']","['Friendship', 'Multiple Mains', 'Slow Romance']",['Shin Won Ho'],"['Lee Woo Jung', 'Kim Song Hee']","['Jo Jung Suk', 'Yoo Yeon Seok', 'Jung Kyung Ho']",['https://i.mydramalist.com/RXXL6_4f.jpg']
When I Fly Towards You,"['Comedy', 'Romance', 'Youth']","['Friendship', 'Love At First Sight', 'Female Chases Male First']",['Mao De Shu'],"['Yue An', 'Tao Kai Xin']","['Zhou Yi Ran', 'Zhang Miao Yi', 'Bian Tian Yang']",['https://i.mydramalist.com/1wOO83_4f.jpg']
Hidden Love,"['Comedy', 'Romance', 'Life']","['Secret Crush', 'First Love', 'Childhood Crush']",['Gia Lee'],['Ou Si Jia'],"['Zhao Lu Si', 'Chen Zhe Yuan', 'Victor Ma']",['https://i.mydramalist.com/x4vJO3_4f.jpg']
Reset,"['Thriller', 'Mystery', 'Sci-Fi']","['Time Loop', 'Death', 'Investigation']","['Sun Mo Long', 'Liu Hong Yuan', 'Lao Suan']","['Lao Suan', 'Qiu Yu Jie']","['Bai Jing Ting', 'Zhao Jin Mai', 'Liu Yi Jun']",['https://i.mydramalist.com/qZyPz_4f.jpg']
One Liter of Tears,"['Romance', 'Drama', 'Melodrama']","['Based On A True Story', 'Terminal Illness', 'Tearjerker']","['Murakami Shosuke', 'Kinoshita Takao']","['Yokota Rie', 'Egashira Michiru', 'Oshima Satomi']","['Sawajiri Erika', 'Nishikido Ryo', 'Yakushimaru Hiroko']",['https://i.mydramalist.com/wXjEb_4f.jpg']
Under the Queen's Umbrella,"['Historical', 'Comedy', 'Drama']","['Motherhood', 'Mother-Son Relationship', 'Palace Setting']",['Kim Hyung Shik'],['Park Ba Ra'],"['Kim Hye Soo', 'Kim Hae Sook', 'Choi Won Young']",['https://i.mydramalist.com/xZNgy_4f.jpg']
The Untamed,"['Mystery', 'Wuxia', 'Fantasy']","['Martial Arts', 'Adapted From A Novel', 'Playful Male Lead']","['Steve Cheng', 'Chan Ka Lam']","['Deng Yao Yu', 'Yang Xia', 'Guo Guang Yun', 'Ma Jing']","['Xiao Zhan', 'Wang Yi Bo', 'Wang Zhuo Cheng']",['https://i.mydramalist.com/qOrz5f.jpg']
Lovely Runner,"['Music', 'Comedy', 'Romance']","['Butterfly Effect', 'Time Travel', 'Passionate Male Lead']","['Yoon Jong Ho', 'Kim Tae Yub']",['Lee Shi Eun'],"['Byeon Woo Seok', 'Kim Hye Yoon', 'Song Geon Hee']",['https://i.mydramalist.com/x4K4VE_4f.jpg']
Crash Landing on You,"['Military', 'Comedy', 'Romance']","['North And South Korea', 'Soldier Male Lead', 'Army']",['Lee Jeong Hyo'],['Park Ji Eun'],"['Hyun Bin', 'Son Ye Jin', 'Seo Ji Hye']",['https://i.mydramalist.com/g0wylo_4f.jpg']
Joy of Life,"['Mystery', 'Romance', 'Wuxia']","['Comedy', 'Martial Arts', 'Power Struggle']",['Sun Hao'],['Wang Juan'],"['Zhang Ruo Yun', 'Li Qin', 'Chen Dao Ming']",['https://i.mydramalist.com/qwkz8f.jpg']
My Mister,"['Psychological', 'Life', 'Drama']","['Nice Male Lead', 'Depression', 'Healing']","['Kim Won Suk', 'Kim Sang Woo']",['Park Hae Young'],"['Lee Sun Kyun', 'IU', 'Park Ho San']",['https://i.mydramalist.com/2lb8k_4f.jpg']
Mysterious Lotus Casebook,"['Mystery', 'Wuxia']","['Investigation', 'Hidden Identity', 'Friendship']","['Guo Hu', 'Ren Hai Tao']",['Liu Fang'],"['Cheng Yi', 'Joseph Zeng', 'Xiao Shun Yao']",['https://i.mydramalist.com/kAozjj_4f.jpg']
The Glory Part 2,"['Thriller', 'Drama', 'Melodrama']","['Revenge', 'Trauma', 'Graphic Violence']",['Ahn Gil Ho'],['Kim Eun Sook'],"['Song Hye Kyo', 'Lee Do Hyun', 'Im Ji Yeon']",['https://i.mydramalist.com/vXjLPq_4f.jpg']
Mr. Queen,"['Historical', 'Comedy', 'Romance']","['Transmigration', 'Sassy Female Lead', 'Eccentric Female Lead']",['Yoon Sung Shik'],"['Park Gye Ok', 'Choi Ah Il']","['Shin Hae Sun', 'Kim Jung Hyun', 'Bae Jong Ok']",['https://i.mydramalist.com/b3RmlV_4f.jpg']
The Spirealm,"['Mystery', 'Horror', 'Comedy']","['Fantasy World', 'Bromance', 'Suspense']",['Danny Pang'],[],"['Xia Zhi Guang', 'Huang Jun Jie', 'Liu Ruo Gu']",['https://i.mydramalist.com/2wgBdE_4f.jpg']
Prison Playbook,"['Comedy', 'Crime', 'Life']","['Life Lesson', 'Prison Setting', 'Bromance']",['Shin Won Ho'],['Jung Bo Hoon'],"['Park Hae Soo', 'Jung Kyung Ho', 'Krystal Jung']",['https://i.mydramalist.com/xXK7yf.jpg']
My Dearest,"['Historical', 'Romance', 'Drama']","['Joseon Dynasty', 'Gay Supporting Character', 'Older Man/Younger Woman']","['Kim Sung Yong', 'Lee Han Joon']",['Hwang Jin Young'],"['Namkoong Min', 'Ahn Eun Jin', 'Lee Hak Joo']",['https://i.mydramalist.com/ABj1Qq_4f.jpg']
Mother,"['Thriller', 'Mystery', 'Psychological']","['Mother-Daughter Relationship', 'Independent Female Lead', 'Smart Female Lead']","['Kim Chul Gyu', 'Yoon Hyun Gi']",['Jung Seo Kyung'],"['Lee Bo Young', 'Heo Yool', 'Lee Hye Young']",['https://i.mydramalist.com/dRPqdf.jpg']
Me and Thee,"['Comedy', 'Romance', 'Crime']","['Gay Romance', 'Mafia', 'Rich Male Lead']",['X Nuttapong Mongkolsawas'],['VANGVELA.'],"['Pond Naravit Lertratkosum', 'Phuwin Tangsakyuen', 'Est Supha Sangaworawong']",['https://i.mydramalist.com/YYXnDz_4f.jpg']
The Prisoner of Beauty,"['Historical', 'Romance', 'Drama']","['Enemies To Lovers', 'Loyal Female Lead', 'Supportive Grandparent']","['Deng Ke', 'Gao Cong Kai']",['Nan Zhen'],"['Song Zu Er', 'Liu Yu Ning', 'Xuan Lu']",['https://i.mydramalist.com/73x5gD_4f.jpg']
Alchemy of Souls Season 2: Light and Shadow,"['Action', 'Historical', 'Romance']","['Fantasy World', 'Smart Male Lead', 'Marriage Of Convenience']","['Park Joon Hwa', 'Bae Hyun Jin']","['Hong Jeong Eun', 'Hong Mi Ran']","['Lee Jae Wook', 'Go Youn Jung', 'Hwang Min Hyun']",['https://i.mydramalist.com/X06Rd_4f.jpg']
Love Like the Galaxy: Part 2,"['Historical', 'Mystery', 'Romance']","['General Male Lead', 'Revenge', 'Slow Burn Romance']",['Fei Zhen Xiang'],"['Zou Yue', 'An Yi Mo']","['Leo Wu', 'Zhao Lu Si', 'Bao Jian Feng']",['https://i.mydramalist.com/XYxmO_4f.jpg']
Alice in Borderland Season 2,"['Action', 'Thriller', 'Mystery']","['Death Game', 'Survival', 'Friendship']",['Sato Shinsuke'],"['Sato Shinsuke', 'Kuramitsu Yasuko']","['Yamazaki Kento', 'Tsuchiya Tao', 'Murakami Nijiro']",['https://i.mydramalist.com/X0qeJ_4f.jpg']
Joy of Life Season 2,"['Comedy', 'Romance', 'Wuxia']","['Martial Arts', 'Power Struggle', 'Transmigration']",['Sun Hao'],['Wang Juan'],"['Zhang Ruo Yun', 'Wu Gang', 'Li Qin']",['https://i.mydramalist.com/60LX6d_4f.jpg']
Taxi Driver Season 2,"['Action', 'Thriller', 'Mystery']","['Revenge', 'Teamwork', 'Graphic Violence']","['Lee Dan', 'Jang Yeong Seok']",['Oh Sang Ho'],"['Lee Je Hoon', 'Kim Eui Sung', 'Pyo Ye Jin']",['https://i.mydramalist.com/2wr8zR_4f.jpg']
Love Like the Galaxy: Part 1,"['Historical', 'Mystery', 'Romance']","['Slow Burn Romance', 'Adapted From A Novel', 'Family Relationship']",['Fei Zhen Xiang'],"['Zou Yue', 'An Yi Mo']","['Leo Wu', 'Zhao Lu Si', 'Guo Tao']",['https://i.mydramalist.com/q4PlK_4f.jpg']
The Good Bad Mother,"['Comedy', 'Life', 'Drama']","['Mother-Son Relationship', 'Village Setting', 'Death Of A Husband']",['Shim Na Yeon'],['Bae Se Young'],"['Ra Mi Ran', 'Lee Do Hyun', 'Ahn Eun Jin']",['https://i.mydramalist.com/E5x540_4f.jpg']
The Glory,"['Thriller', 'Drama', 'Melodrama']","['Revenge', 'School Bullying', 'School Violence']",['Ahn Gil Ho'],['Kim Eun Sook'],"['Song Hye Kyo', 'Lee Do Hyun', 'Im Ji Yeon']",['https://i.mydramalist.com/4v6zJ_4f.jpg']
My Dearest Part 2,"['Historical', 'Romance', 'Drama']","['Historical Fiction', 'Power Struggle', 'Joseon Dynasty']","['Kim Sung Yong', 'Lee Han Joon']",['Hwang Jin Young'],"['Namkoong Min', 'Ahn Eun Jin', 'Lee Hak Joo']",['https://i.mydramalist.com/kAkAZr_4f.jpg']
Dr. Romantic Season 3,"['Romance', 'Drama', 'Medical']","['Hospital Setting', 'Teamwork', 'Genius Male Lead']",['Yoo In Shik'],['Kang Eun Kyung'],"['Han Seok Kyu', 'Lee Sung Kyung', 'Ahn Hyo Seop']",['https://i.mydramalist.com/d02LlA_4f.jpg']
Alice in Borderland,"['Action', 'Thriller', 'Sci-Fi']","['Death Game', 'Death', 'Suspense']",['Sato Shinsuke'],"['Sato Shinsuke', 'Kuramitsu Yasuko']","['Yamazaki Kento', 'Tsuchiya Tao', 'Murakami Nijiro']",['https://i.mydramalist.com/qP5R0_4f.jpg']
Navillera,"['Life', 'Drama']","['Ballet', 'Life Lesson', 'Unusual Friendship']",['Han Dong Hwa'],['Lee Eun Mi'],"['Park In Hwan', 'Song Kang', 'Na Moon Hee']",['https://i.mydramalist.com/wE3AA_4f.jpg']
Mouse,"['Thriller', 'Mystery', 'Psychological']","['Murder', 'Investigation', 'Character Development']","['Choi Joon Bae', 'Kang Cheol Woo']",['Choi Ran'],"['Lee Seung Gi', 'Lee Hee Joon', 'Park Ju Hyun']",['https://i.mydramalist.com/XNeKO_4f.jpg']
Vincenzo,"['Comedy', 'Law', 'Crime']","['Mafia', 'Revenge', 'Slight Romance']",['Kim Hee Won'],['Park Jae Bum'],"['Song Joong Ki', 'Jeon Yeo Been', 'Ok Taec Yeon']",['https://i.mydramalist.com/vAnBe_4f.jpg']
Study Group,"['Action', 'Thriller', 'Comedy']","['School Bullying', 'Friendship', 'Physically Strong Male Lead']",['Lee Jang Hoon'],['Oh Bo Hyun'],"['Hwang Min Hyun', 'Han Ji Eun', 'Cha Woo Min']",['https://i.mydramalist.com/ABRNyg_4f.jpg']
The First Frost,"['Romance', 'Life', 'Youth']","['Second Chance Romance', 'Past And Present', 'Sleepwalking']",['Chu Yu Ning'],"['Chu Yu Ning', 'Chang Kei Hsin', 'Chen Long', 'Zhao Wen Jing']","['Bai Jing Ting', 'Zhang Ruo Nan', 'Edward Chen']",['https://i.mydramalist.com/VXzRyz_4f.jpg']
Go Ahead,"['Comedy', 'Romance', 'Drama']","['Found Family', 'Brother-Sister Relationship', 'Child Abandonment']",['Ding Zi Guang'],['Wang Xiong Cheng'],"['Tan Song Yun', 'Song Wei Long', 'Zhang Xin Cheng']",['https://i.mydramalist.com/exXvQ_4f.jpg']
Kingdom Season 2,"['Thriller', 'Historical', 'Horror']","['Zombies', 'Corruption', 'Gore']","['Kim Sung Hoon', 'Park In Je']",['Kim Eun Hee'],"['Ju Ji Hoon', 'Bae Doo Na', 'Kim Sung Kyu']",['https://i.mydramalist.com/mOnjAk_4f.jpg']
Someday or One Day,"['Thriller', 'Romance', 'Sci-Fi']","['Transmigration', 'Change Of Fate', 'Different Timelines']",['Huang Tien Jen'],"['Lin Hsin Hui', 'Chien Chi Feng']","['Ko Chia Yen', 'Greg Hsu', 'Patrick Shih']",['https://i.mydramalist.com/1L7lyf.jpg']
Signal,"['Thriller', 'Mystery', 'Sci-Fi']","['Different Timelines', 'Butterfly Effect', 'Suspense']",['Kim Won Suk'],['Kim Eun Hee'],"['Lee Je Hoon', 'Kim Hye Soo', 'Jo Jin Woong']",['https://i.mydramalist.com/6wYZO_4f.jpg']
It's Okay to Not Be Okay,"['Psychological', 'Comedy', 'Romance']","['Independent Female Lead', 'Possessive Female Lead', 'Successful Female Lead']","['Park Shin Woo', 'Jung Dong Yoon']",['Jo Yong'],"['Kim Soo Hyun', 'Seo Yea Ji', 'Oh Jung Se']",['https://i.mydramalist.com/xw3xX_4f.jpg']
Extraordinary Attorney Woo,"['Law', 'Romance', 'Life']","['Autistic Female Lead', 'Autism', 'Attorney Female Lead']",['Yoo In Shik'],['Moon Ji Won'],"['Park Eun Bin', 'Kang Tae Oh', 'Kang Ki Young']",['https://i.mydramalist.com/dgJJz_4f.jpg']
Love in the Clouds,"['Mystery', 'Romance', 'Wuxia']","['Hidden Agenda', 'Hidden Identity', 'Smart Female Lead']","['Peng Xue Jun', 'Zhi Zhu']","['Ding Lu', 'Ji Sang Rou']","['Hou Ming Hao', 'Lu Yu Xiao', 'Yu Cheng En']",['https://i.mydramalist.com/YYrQEW_4f.jpg']
Weak Hero Class 2,"['Action', 'Thriller', 'Youth']","['Male Centered Plot', 'Skilled Fighter', 'High School']","['Park Dhan Hee', 'Yoo Su Min']",['Yoo Su Min'],"['Park Ji Hoon', 'Ryeo Un', 'Choi Min Yeong']",['https://i.mydramalist.com/73bB8D_4f.jpg']
The Double,"['Historical', 'Mystery']","['Revenge', 'Smart Female Lead', 'Identity Swap']","['Bai Yun Mo', 'Lu Hao Ji Ji', 'Ma Shi Ge']",['Ren Ya Nan'],"['Wu Jin Yan', 'Wang Xing Yue', 'Chen Xin Hai']",['https://i.mydramalist.com/ABVxdZ_4f.jpg']
Happiness,"['Action', 'Thriller', 'Drama']","['Infectious Disease', 'Police Officer Female Lead', 'Lockdown']",['Ahn Gil Ho'],['Han Sang Un'],"['Han Hyo Joo', 'Park Hyung Sik', 'Jo  Woo Jin']",['https://i.mydramalist.com/BWXjV_4f.jpg']
Death's Game Part 2,"['Thriller', 'Drama', 'Fantasy']","['Mother-Son Relationship', 'Character Development', 'Reincarnation']",['Ha Byung Hoon'],['Ha Byung Hoon'],"['Seo In Guk', 'Park So Dam', 'Nam Kyung Eup']",['https://i.mydramalist.com/XdwWLn_4f.jpg']
Meet Yourself,"['Romance', 'Life', 'Drama']","['Healing', 'Village Setting', 'Slow Burn Romance']",['Ding Zi Guang'],"['Wang Xiong Cheng', 'Shui Qian Mo', 'Long Ya']","['Crystal Liu', 'Li Xian', 'Hu Bing Qing']",['https://i.mydramalist.com/dPk5e_4f.jpg']
Twelve Letters,"['Thriller', 'Mystery', 'Romance']","['Emotionally Strong Female Lead', 'Town Setting', 'Debt Collector Male Lead']",['Sha Wei Qi'],"['Cheng Xiao Mao', 'Cheng Meng Yan']","['Zhou Yi Ran', 'Wang Ying Lu', 'Zheng He Hui Zi']",['https://i.mydramalist.com/JBVnow_4f.jpg']
Tomorrow,"['Action', 'Thriller', 'Drama']","['Grim Reaper Female Lead', 'Grim Reaper Male Lead', 'Underworld']","['Kim Tae Yoon', 'Sung Chi Wook']","['Park Ran', 'Park Ja Kyung', 'Kim Yu Jin']","['Kim Hee Sun', 'Ro Woon', 'Lee Soo Hyuk']",['https://i.mydramalist.com/qjBQ2_4f.jpg']
Taxi Driver,"['Action', 'Thriller', 'Crime']","['Investigation', 'Revenge', 'Taxi Driver Male Lead']",['Park Joon Woo'],"['Oh Sang Ho', 'Lee Ji Hyun']","['Lee Je Hoon', 'Esom', 'Kim Eui Sung']",['https://i.mydramalist.com/2Bkww_4f.jpg']
The Blood of Youth,"['Wuxia', 'Youth', 'Fantasy']","['Friendship', 'Adventure', 'Martial Arts']",['Yin Tao'],"['Mu Jing Wen', 'Sophia Ma']","['Li Hong Yi', 'Liu Xue Yi', 'Lin Bo Yang']",['https://i.mydramalist.com/qBl40_4f.jpg']
Partners for Justice Season 2,"['Mystery', 'Law', 'Drama']","['Forensic Science', 'Forensic Medical Examiner Male Lead', 'Prosecutor Supporting Character']","['Noh Do Cheol', 'Han Jin Sun']","['Jo Won Gi', 'Min Ji Eun']","['Jung Jae Young', 'Jung Yoo Mi', 'Oh Man Seok']",['https://i.mydramalist.com/enw3ef.jpg']
Death's Game,"['Thriller', 'Drama', 'Fantasy']","['Death', 'Survival', 'Poor Male Lead']",['Ha Byung Hoon'],['Ha Byung Hoon'],"['Seo In Guk', 'Park So Dam', 'Go Youn Jung']",['https://i.mydramalist.com/QJKVK7_4f.jpg']
MuTeLuv: Love Me if You Swear,"['Adventure', 'Comedy', 'Romance']","['LGBTQ+', 'Enemies To Lovers', 'School Rivalry']",['PingPong Suwanun Pohgudsai'],['PingPong Suwanun Pohgudsai'],"['Surf Patchara Silapasoonthorn', 'Java Bhobdhama Hansa', 'Louis Thanawin Teeraphosukarn']",['https://i.mydramalist.com/mOdvNk_4f.jpg']
Word of Honor - Epilogue,"['Wuxia', 'Fantasy']","['Antihero Male Lead', 'Cultivation', 'Homoerotic Subtext']",[],[],"['Gong Jun', 'Zhang Zhe Han']",['https://i.mydramalist.com/dKdy0_4f.jpg']
Blossom,"['Historical', 'Mystery', 'Romance']","['Second Chance', 'Political', 'Reincarnation']","['Zeng Qing Jie', 'Guo Feng']",['Jia Bin Bin'],"['Meng Zi Yi', 'Li Yun Rui', 'Snow Kong']",['https://i.mydramalist.com/Dk76P2_4f.jpg']
The Uncanny Counter,"['Action', 'Mystery', 'Drama']","['Found Family', 'Righteous Male Lead', 'Evil Spirit']","['Yoo Seon Dong', 'Park Bong Sub']","['Kim Sae Bom', 'Yeo Ji Na', 'Yoo Seon Dong']","['Cho Byeong Kyu', 'Yoo  Joon Sang', 'Kim Se Jeong']",['https://i.mydramalist.com/v3032_4f.jpg']
Mr. Sunshine,"['Military', 'Historical', 'Romance']","['Independent Female Lead', 'Smart Male Lead', 'Bromance']","['Lee Eung Bok', 'Jang Young Woo']",['Kim Eun Sook'],"['Lee Byung Hun', 'Kim Tae Ri', 'Yoo Yeon Seok']",['https://i.mydramalist.com/vKrdW_4f.jpg']
Love Story in the 1970s,"['Romance', 'Life']","['Painter Male Lead', 'Chasing A Dream', 'Determined Female Lead']",['Chen Chang'],['Guo Shuang'],"['Arthur Chen', 'Sun Qian', 'Wang Tian Chen']",['https://i.mydramalist.com/81jQed_4f.jpg']
Love between Lines,"['Mystery', 'Business', 'Romance']","['Architect Male Lead', 'Confident Male Lead', 'Smart Female Lead']",['Mao De Shu'],[],"['Chen Xing Xu', 'Lu Yu Xiao', 'Dai Xu']",['https://i.mydramalist.com/PxmBER_4f.jpg']
Oh No! Here Comes Trouble,"['Mystery', 'Comedy', 'Drama']","['Supernatural Power', 'Calligraphy', 'Enemies To Friends']",['Lin Kuan Hui'],['Lin Kuan Hui'],"['Tseng Jing Hua', 'Vivian Sung', 'Peng Cian You']",['https://i.mydramalist.com/4eeWod_4f.jpg']
Guardian: The Lonely and Great God,"['Comedy', 'Romance', 'Fantasy']","['Older Man/Younger Woman', 'Interspecies Romance', 'Dokkaebi']",['Lee Eung Bok'],['Kim Eun Sook'],"['Gong Yoo', 'Kim Go Eun', 'Lee Dong Wook']",['https://i.mydramalist.com/JkD8Xf.jpg']
Healer,"['Action', 'Thriller', 'Mystery']","['Double Identity', 'Hidden Identity', 'Smart Male Lead']","['Lee Jeong Seop', 'Kim Jin U']",['Song Ji Na'],"['Ji Chang Wook', 'Park Min Young', 'Yoo Ji Tae']",['https://i.mydramalist.com/lBOo4f.jpg']
Twenty Five Twenty One,"['Romance', 'Life', 'Drama']","['Coming Of Age', 'Nostalgia', 'Fencing']","['Jung Ji Hyun', 'Kim Seung Ho']",['Kwon Do Eun'],"['Kim Tae Ri', 'Nam Joo Hyuk', 'Bo Na']",['https://i.mydramalist.com/ROOPo_4f.jpg']
Kingdom,"['Thriller', 'Historical', 'Horror']","['Joseon Dynasty', 'Adapted From A Webtoon', 'Power Struggle']",['Kim Sung Hoon'],['Kim Eun Hee'],"['Ju Ji Hoon', 'Ryu Seung Ryong', 'Bae Doo Na']",['https://i.mydramalist.com/d4d1Wf.jpg']
The Story of Ming Lan,"['Historical', 'Romance', 'Life']","['Smart Female Lead', 'Scheme', 'Slow Burn Romance']",['Zhang Kai Zhou'],"['Wu Tong', 'Zeng Lu']","['Zhao Li Ying', 'Feng Shao Feng', 'Zhu Yi Long']",['https://i.mydramalist.com/ZobVJf.jpg']
Daily Dose of Sunshine,"['Life', 'Drama', 'Medical']","['Nurse Female Lead', 'Mental Illness', 'Healing']",['Lee Jae Gyoo'],"['Lee Nam Gyu', 'Kim Da Hee']","['Park Bo Young', 'Yeon Woo Jin', 'Jang Dong Yoon']",['https://i.mydramalist.com/QJKJP7_4f.jpg']
To the Wonder,"['Romance', 'Life', 'Family']","['Countryside Setting', 'Ethnic Minority', 'Adapted From An Essay']",['Teng Cong Cong'],['Teng Cong Cong'],"['Ma Yi Li', 'Zhou Yi Ran', 'Yu Shi']",['https://i.mydramalist.com/qYwpp8_4f.jpg']
Tale of the Nine-Tailed 1938,"['Historical', 'Horror', 'Romance']","['Nine-tailed Fox', 'Action', 'Supernatural']","['Kang Shin Hyo', 'Jo Nam Hyung']",['Han Woo Ri'],"['Lee Dong Wook', 'Kim So Yeon', 'Kim Bum']",['https://i.mydramalist.com/WPndVP_4f.jpg']
D.P.,"['Action', 'Military', 'Drama']","['Desertion', 'Violence', 'Harassment']",['Han Jun Hee'],"['Han Jun Hee', 'Kim Bo Tong']","['Jung Hae In', 'Koo Kyo Hwan', 'Kim Sung Kyun']",['https://i.mydramalist.com/XkYln_4f.jpg']
Last Twilight: Uncut Version,"['Romance', 'Drama']","['Disability', 'Rich Male Lead', 'Expressed Consent']",['Aof Noppharnach Chaiyahwimhon'],"['Bee Pongsate Lucksameepong', 'Best Kittisak Kongka']","['Jimmy Jitaraphol Potiwihok', 'Sea Tawinan Anukoolprasert', 'Mark Pakin Kuna-anuwit']",['https://i.mydramalist.com/LwjEKx_4f.jpg']
A Shop for Killers,"['Action', 'Thriller', 'Mystery']","['Smart Male Lead', 'Smart Female Lead', 'Difficult Childhood']",['Lee Kwon'],"['Ji Ho Jin', 'Lee Kwon']","['Lee Dong Wook', 'Kim Hye Joon', 'Seo Hyeon Woo']",['https://i.mydramalist.com/QJNjwg_4f.jpg']
The Red Sleeve,"['Historical', 'Romance', 'Drama']","['Court Lady Female Lead', 'Rich Man/Poor Woman', 'Noble Man/Common Woman']","['Jung Ji In', 'Song Yeon Hwa']",['Jung Hae Ri'],"['Lee Jun Ho', 'Lee Se Young', 'Kang Hoon']",['https://i.mydramalist.com/2WpKk_4f.jpg']
Dr. Romantic Season 2,"['Romance', 'Drama', 'Medical']","['Slow Burn Romance', 'Healing', 'Character Development']","['Yoo In Shik', 'Lee Gil Bok']",['Kang Eun Kyung'],"['Han Seok Kyu', 'Ahn Hyo Seop', 'Lee Sung Kyung']",['https://i.mydramalist.com/Rr7DEf.jpg']
Stranger,"['Thriller', 'Mystery', 'Law']","['Suspense', 'Investigation', 'Corruption']",['Ahn Gil Ho'],['Lee Su Yeon'],"['Cho Seung Woo', 'Bae Doo Na', 'Lee Jun Hyuk']",['https://i.mydramalist.com/1o3zzf.jpg']
Jack & Joker: U Steal My Heart!,"['Action', 'Romance', 'Crime']","['Gay Romance', 'Debt Collector Male Lead', 'Thief Male Lead']",['Tee Bundit Sintanaparadee'],"['Myminorh Sarun Kaensap', 'Looksorn Pacharawan Chaipuwarat', 'Yui Athima Iamathikhom', 'Anawat Kitchawengkul']","['Yin Anan Wong', 'War Wanarat Ratsameerat', 'Prom Ratchapat Worrasarn']",['https://i.mydramalist.com/1w81bR_4f.jpg']
